ACCESORIOS;PIEDRA CHINA (LEGITIMA);1876;12;$ 90,22;$ 93,02;7798095231876;065961;01;065-961-01
ACCESORIOS;PIEDRA POMEZ ENVASADA;1890;24;$ 84,95;$ 87,58;7798095231890;065956;01;065-956-01
ACCESORIOS;PORTA CEPILLO Dientes Acrilico;2392;12;$ 165,06;$ 170,18;7798095232392;065021;01;065-021-01
ACCESORIOS;PORTA CEPILLO Dientes Plastico;3689;12;$ 47,35;$ 48,82;7798095233689;065020;01;065-020-01
ACCESORIOS;REVLON PRO Instant Pedi;8598;3;$ 4.010,86;$ 4.135,20;761318338598;032129;01;032-129-01
ACCESORIOS;RULERO ABROJO N°13 x12u;2033;6;$ 217,71;$ 224,46;7798095232033;065103;01;065-103-01
ACCESORIOS;RULEROS Nro 6 x12 Uni,;5096;12;$ 59,67;$ 61,52;7798095235096;065056;01;065-056-01
ACCESORIOS;RULEROS Nro 7 x12 Uni,;5102;12;$ 70,32;$ 72,50;7798095235102;065057;01;065-057-01
ACCESORIOS;RULEROS Nro 8 x12 Uni,;5119;12;$ 74,24;$ 76,54;7798187655184;065058;01;065-058-01
ACCESORIOS;SACAPUNTA 61720-2;2170;12;$ 99,36;$ 102,44;7798095232170;065202;01;065-202-01
ACCESORIOS;THELMA&LOUISE Pinta Pelo x4g;VIOLETA;12;$ 126,63;$ 130,56;7798184521543;218190;05;218-190-05
ACCESORIOS;THELMA&LOUISE Pinta Pelo x4g;TURQUESA;12;$ 126,63;$ 130,56;7798184521215;218190;02;218-190-02
ACCESORIOS;THELMA&LOUISE Pinta Pelo x4g;ROJO;12;$ 126,63;$ 130,56;7798184521529;218190;04;218-190-04
ACCESORIOS;UNHEX Cortauñas (M);7702;12;$ 210,15;$ 216,66;7896075757702;405140;01;405-140-01
ACCESORIOS;UNHEX Cortauñas Lateral Ac (H);7696;12;$ 336,24;$ 346,66;7896075757696;405122;01;405-122-01
ACCESORIOS;UNHEX Cortauñas mano c/cad,(H);7641;12;$ 193,35;$ 199,34;7896075757641;405120;01;405-120-01
ACCESORIOS;UNHEX Cortauñas Pie Acero (H);7658;12;$ 244,61;$ 252,19;7896075757658;405121;01;405-121-01
ACCESORIOS;VAPORIZADOR Peluquero CHICO;*****;12;$ 185,80;$ 191,56;24510401;245104;01;245-104-01
ACCESORIOS;VAPORIZADOR Peluquero GRANDE;*****;12;$ 197,56;$ 203,68;24510501;245105;01;245-105-01
ACCESORIOS PARA BEBE;DISPITA Apirador Nasal C/Valv;1139;24;$ 124,20;$ 128,05;7798038311139;252200;01;252-200-01
ACCESORIOS PARA BEBE;DISPITA Mamadera DL Estamp 250;2679;40;$ 180,90;$ 186,51;7798038312679;252111;01;252-111-01
ACCESORIOS PARA BEBE;DISPITA Mordillo Refrigerante;7520;24;$ 159,30;$ 164,24;7798038317520;252210;01;252-210-01
ACCESORIOS PARA BEBE;DISPITA Tetina Sili,Boca Ancha;1481;12;$ 172,81;$ 178,17;7798038311481;252112;01;252-112-01
ACCESORIOS PARA BEBE;UNHEX Cortauñas Baby Hipo/Gat,;7719;12;$ 256,37;$ 264,32;7896075757719;405130;01;405-130-01
ACEITES PARA BEBES;ESTRELLA Oleo Calcareo x250;1039;12;$ 109,42;$ 112,81;7790064001039;135112;01;135-112-01
ACEITES PARA BEBES;ESTRELLA Oleo Calcareo x500;1046;12;$ 162,25;$ 167,28;7790064001046;135113;01;135-113-01
ACEITES PARA BEBES;JOHNSON Aceite Aloe +Vit,Ex100;1060;12;$ 121,73;$ 125,50;7790010959803;160173;01;160-173-01
ACEITES PARA BEBES;JOHNSON Aceite Aloe +Vit,Ex200;7093;12;$ 206,55;$ 212,95;7790010960021;160174;01;160-174-01
ACEITES PARA BEBES;JOHNSON Aceite x 100;9780;12;$ 121,73;$ 125,50;7790010959780;160170;01;160-170-01
ACEITES PARA BEBES;JOHNSON Aceite x 200;7054;12;$ 206,55;$ 212,95;7790010959797;160171;01;160-171-01
ACEITES PARA BEBES;PETIT ENFANT Oleo Calcareox240;4994;6;$ 258,47;$ 266,48;7793487074994;335693;01;335-693-01
ACONDICIONADOR  FRASCO;ALGABO Aco,x300 Doy Pack;MANZANILLA Y MAGNOLI;12;$ 37,51;$ 38,67;7791274197000;020133;01;020-133-01
ACONDICIONADOR  FRASCO;ALGABO Aco,x300 Doy Pack;AGUACATE Y ARGAN;12;$ 37,51;$ 38,67;02013302;020133;02;020-133-02
ACONDICIONADOR  FRASCO;ALGABO Aco,x300 Doy Pack;COCO Y LECHE;12;$ 37,51;$ 38,67;7791274196997;020133;03;020-133-03
ACONDICIONADOR  FRASCO;ALGABO Aco,x930;COCO Y LECHE;12;$ 80,64;$ 83,14;7791274198199;020136;01;020-136-01
ACONDICIONADOR  FRASCO;ALTAMODA Acondicionador x300;DETOX;12;$ 128,01;$ 131,98;7798180960636;108091;07;108-091-07
